# of tokens, conf, # of clusters, aes_ni, detected, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
5k, 2, 4, 0, true, 10, 1816.9, 90.34, 10, 1930.6, 130.63
5k, 2, 4, 0, false, 10, 2212.8, 116.01, 10, 3508.7, 195.9
5k, 2, 4, 1, true, 10, 1286.9, 136.0, 10, 1858.8, 127.46
5k, 2, 4, 1, false, 10, 1859.8, 273.37, 10, 3437.0, 195.5
5k, 2, 6, 0, true, 10, 1774.0, 92.55, 10, 511.0, 54.12
5k, 2, 6, 0, false, 10, 2203.5, 165.71, 10, 3487.6, 272.79
5k, 2, 6, 1, true, 10, 1247.1, 22.63, 10, 491.4, 34.03
5k, 2, 6, 1, false, 10, 1692.1, 72.5, 10, 3433.1, 231.33
5k, 3, 1, 0, true, 10, 1692.9, 103.04, 10, 448.3, 38.18
5k, 3, 1, 0, false, 10, 2253.9, 220.33, 10, 3507.0, 221.39
5k, 3, 1, 1, true, 10, 1233.5, 104.99, 10, 446.2, 27.72
5k, 3, 1, 1, false, 10, 1724.9, 151.55, 10, 3455.4, 184.51
5k, 4, 1, 0, true, 10, 2098.1, 196.72, 10, 13819.2, 286.96
5k, 4, 1, 0, false, 10, 2464.1, 261.28, 10, 3265.5, 210.54
5k, 4, 1, 1, true, 10, 1807.0, 164.18, 10, 13407.8, 689.47
5k, 4, 1, 1, false, 10, 2153.6, 240.72, 10, 3433.1, 300.97
5k, 5, 2, 0, true, 10, 1824.3, 246.46, 10, 1504.7, 131.76
5k, 5, 2, 0, false, 10, 2142.2, 415.28, 10, 3883.2, 255.99
5k, 5, 2, 1, true, 10, 1358.4, 159.61, 10, 1375.0, 126.84
5k, 5, 2, 1, false, 10, 1766.4, 195.32, 10, 3620.6, 205.05
5k, 5, 4, 0, true, 10, 1663.3, 165.62, 10, 1798.0, 111.73
5k, 5, 4, 0, false, 10, 1998.2, 208.38, 10, 3469.1, 151.02
5k, 5, 4, 1, true, 10, 1392.2, 98.16, 10, 1716.9, 78.84
5k, 5, 4, 1, false, 10, 1760.5, 160.73, 10, 3389.1, 117.5
5k, 5, 6, 0, true, 10, 1763.7, 201.37, 10, 1778.6, 186.96
5k, 5, 6, 0, false, 10, 2044.4, 255.05, 10, 3584.8, 525.88
5k, 5, 6, 1, true, 10, 1401.3, 161.8, 10, 1669.7, 110.55
5k, 5, 6, 1, false, 10, 1762.0, 173.95, 10, 3667.1, 354.26
5k, 6, 1, 0, true, 10, 1591.6, 152.42, 10, 1160.2, 68.27
5k, 6, 1, 0, false, 10, 2038.4, 242.14, 10, 4093.2, 180.26
5k, 6, 1, 1, true, 10, 1325.4, 82.29, 10, 1030.7, 111.74
5k, 6, 1, 1, false, 10, 1723.2, 173.37, 10, 4116.7, 288.46
5k, 7, 2, 0, true, 10, 385.2, 6.18, 10, 978.7, 94.19
5k, 7, 2, 0, false, 10, 426.9, 14.46, 10, 1523.2, 156.65
5k, 7, 2, 1, true, 10, 283.5, 5.68, 10, 896.8, 203.73
5k, 7, 2, 1, false, 10, 334.1, 10.54, 10, 1378.3, 238.62
